Species,Taxa2,Taxa,Class,Order,Family,Genus,Commercial,Origin,Online link,Habitat
Aetomylaeus bovinus,Fish,Chondrichthyes,Elasmobranchii,Myliobatiformes,Myliobatidae,Aetomylaeus,N,N,https://www.fishbase.se/summary/5011,Pelagic fish
Alectis alexandrina,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Alectis,Y,N,,Pelagic fish
Alepes djedaba,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Alepes,Y,I,,Pelagic fish
Apogon imberbis,Fish,Osteichthyes,Actinopterygii,Kurtiformes,Apogonidae,Apogon,N,N,,Demersal fish
Apogonichthyoides pharaonis,Fish,Osteichthyes,Actinopterygii,Kurtiformes,Apogonidae,Apogonichthyoides,N,I,,Demersal fish
Argyrosomus regius,Fish,Osteichthyes,Actinopterygii,Perciformes,Sciaenidae,Argyrosomus,Y,N,https://www.fishbase.se/summary/418,Demersal fish
Ariosoma balearicum,Fish,Osteichthyes,Actinopterygii,Anguilliformes,Congridae,Ariosoma,N,N,,Demersal fish
Arnoglossus sp.,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus,N,U,,Demersal fish
Arnoglossus thori,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus,N,N,,Demersal fish
Atherinomorus forsskali,Fish,Osteichthyes,Actinopterygii,Atheriniformes,Atherinidae,Atherinomorus,N,I,https://www.fishbase.se/summary/Atherinomorus-forskalii,Pelagic fish
Balistes capriscus,Fish,Osteichthyes,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,Y,N,https://www.fishbase.se/summary/7327,Pelagic fish
Blennius ocellaris,Fish,Osteichthyes,Actinopterygii,Perciformes,Blenniidae,Blennius,N,N,,Demersal fish
Boops boops,Fish,Osteichthyes,Actinopterygii,Perciformes,Sparidae,Boops,Y,N,,Demersal fish
Bothus podas,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Bothidae,Bothus,N,N,,Demersal fish
Bregmaceros nectabanus,Fish,Osteichthyes,Actinopterygii,Gadiformes,Bregmacerotidae,Bregmaceros,N,I,https://www.fishbase.in/summary/8422,Demersal fish
Buglossidium luteum,Fish,Osteichthyes,Actinopterygii,Pleuronectiformes,Soleidae,Buglossidium,N,N,,Demersal fish
Callionymus filamentosus,Fish,Osteichthyes,Actinopterygii,Perciformes,Callionymidae,Callionymus,N,I,https://www.fishbase.se/summary/225,Demersal fish
Callionymus maculatus,Fish,Osteichthyes,Actinopterygii,Perciformes,Callionymidae,Callionymus,N,N,,Demersal fish
Capros aper,Fish,Osteichthyes,Actinopterygii,Perciformes,Caproidae,Capros,N,N,https://www.fishbase.se/summary/Capros-aper.html,Demersal fish
Caranx crysos,Fish,Osteichthyes,Actinopterygii,Perciformes,Carangidae,Caranx,Y,N,,Pelagic fish
Carcharhinus plumbeus,Fish,Chondrichthyes,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,N,N,https://www.fishbase.se/summary/880,Pelagic fish
Cepola macrophthalma,Fish,Osteichthyes,Actinopterygii,Perciformes,Cepolidae,Cepola,N,N,https://www.fishbase.se/Summary/SpeciesSummary.php?ID=56&AT=Fouet,Demersal fish
Champsodon nudivittis,Fish,Osteichthyes,Actinopterygii,Perciformes,Champsodontidae,Champsodon,N,I,https://www.fishbase.se/summary/10357,Demersal fish
Cheilodipterus novemstriatus,Fish,Osteichthyes,Actinopterygii,Kurtiformes,Apogonidae,Cheilodipterus,N,I,,Demersal fish
Cheilopogon heterurus,Fish,Osteichthyes,Actinopterygii,Beloniformes,Exocoetidae,Cheilopogon,N,N,https://www.fishbase.se/summary/Cheilopogon-heterurus.html,Pelagic fish
Chelidonichthys lastoviza,Fish,Osteichthyes,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,N,N,https://www.fishbase.se/summary/Trigloporus-lastoviza.html,Demersal fish
Chelidonichthys lucerna,Fish,Osteichthyes,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys,N,N,,Demersal fish
Chelon auratus,Fish,Osteichthyes,Actinopterygii,Perciformes,Mugillidae,Chelon,Y,N,,Demersal fish
